Category,Code,"Quantity Available",Supplier,"Description - Paragraph 1","Description - Paragraph 2","Description - Paragraph 3","Description - Paragraph 4","Product - Length","Product - Width","Product - Thickness","Pack - Length","Pack - Width","Pack - Thickness","Pack - Weight","Online Discount","Recommended Retail Price","Media - Photo 1","Media - Photo 2","Media - Photo 3","Media - Instructional Video"
,PA6131,0,,,,,,,,,,,,,,2.00,PA6131_V,PA6131_L,PA6131_S,
,PA6141,22,,,,,,,,,,,,,,2.00,PA6141_V,PA6141_L,PA6141_S,
,PA6145,0,,,,,,,,,,,,,,2.00,PA6145_V,PA6145_L,PA6145_S,
,PA6149,0,,,,,,,,,,,,,,2.00,PA6149_V,PA6149_L,PA6149_S,
,PA6151,0,,,,,,,,,,,,,,2.00,PA6151_V,PA6151_L,PA6151_S,
,PA6152,0,,,,,,,,,,,,,,2.00,PA6152_V,PA6152_L,PA6152_S,
,PA6153,0,,,,,,,,,,,,,,2.00,PA6153_V,PA6153_L,PA6153_S,
,PA6155,0,,,,,,,,,,,,,,2.00,PA6155_V,PA6155_L,PA6155_S,
,PA6159,0,,,,,,,,,,,,,,2.00,PA6159_V,PA6159_L,PA6159_S,
,PA6161,0,,,,,,,,,,,,,,2.00,PA6161_V,PA6161_L,PA6161_S,
